Name,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Sara,,,,,,,,11148,8972,5315,
Sarah,2173,5031,3920,3870,4149,,5621,25741,25808,17687,6308
Savannah,,,,,,,,,,7099,5361
Serenity,,,,,,,,,,,3468
Shannon,,,,,,,13548,9668,5185,,
Sharon,,,,11117,24611,20425,9174,,,,
Sheila,,,,,5322,7909,4938,,,,
Shelby,,,,,,,,,3517,4558,
Sherry,,,,,5805,8312,5914,,,,
Shirley,,4715,14778,17872,15893,6411,,,,,
Sierra,,,,,,,,,,5520,
Sofia,,,,,,,,,,,6319
Sophia,,,,,,,,,,6562,20612
Sophie,,,,,,,,,,,4413
Stacey,,,,,,,7155,4223,,,
Stacy,,,,,,,7775,5057,,,
Stella,1319,3492,,,,,,,,,3437
Stephanie,,,,,,5266,15390,17840,24856,7027,
Sue,,,,3105,3503,,,,,,
Susan,,,,6757,38022,39201,15741,4702,,,
Suzanne,,,,,5268,5966,4428,,,,
Sydney,,,,,,,,,,10242,4328
Sylvia,1000,3319,,3802,3616,,,,,,
Tamara,,,,,,,4722,,,,
Tammy,,,,,,14311,19586,3133,,,
Tanya,,,,,,,4865,3436,,,
Tara,,,,,,,5334,6282,3821,,
Taylor,,,,,,,,,7256,15078,5892
Teresa,,,,,4725,18831,9607,3146,,,
Terri,,,,,,8745,,,,,
Thelma,2976,7815,5244,,,,,,,,
Theresa,926,,4779,,5628,11845,6408,,,,
Tiffany,,,,,,,4000,16226,13157,,
Tina,,,,,,9128,13867,4257,,,
Tonya,,,,,,,7140,3079,,,
Tracey,,,,,,,6231,,,,
Traci,,,,,,,3855,,,,
Tracy,,,,,,5771,18467,4969,,,
Trinity,,,,,,,,,,4284,3693
Valeria,,,,,,,,,,,3114
Valerie,,,,,,6717,4133,3612,,,
Vanessa,,,,,,,,4427,6405,5133,
Velma,1035,,,,,,,,,,
Vera,1346,3785,,,,,,,,,
Veronica,,,,,,,,4379,3588,,
Vicki,,,,,5828,6161,,,,,
Vickie,,,,,,4862,,,,,
Victoria,,,,,3779,,4460,,9104,10922,6219
Viola,2090,4292,,,,,,,,,
Violet,1037,3694,,,,,,,,,
Virginia,2854,17313,13195,9552,8308,,,,,,
Vivian,,4128,2870,,,,,,,,
Wanda,,,4522,4709,6931,6675,,,,,
Wendy,,,,,,6868,11101,4142,,,
Whitney,,,,,,,,,5903,,
Willie,1796,3816,3016,,,,,,,,
Wilma,,3671,4074,2621,,,,,,,
Zoe,,,,,,,,,,3785,6261
Zoey,,,,,,,,,,,5200
